brand,model_clean,car_link,description,price,price_eur,first_registration,accident_free,car_age_years,mileage_km,mileage_category,power_kw,power_hp,fuel_type,seller_name,seller_rating,seller_reviews_count,rag_text,specifications,spec_list
Mercedes-Benz,Mercedes-Benz CLA 200 Shooting Brake,https://suchen.mobile.de/fahrzeuge/details.html?id=442028837&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&rd=100&ref=srp&refId=692b2536-d65d-caf0-12e7-d05cb10a818e&s=Car&sb=rel&searchId=692b2536-d65d-caf0-12e7-d05cb10a818e&vc=Car,7G-DCT AMG Line+LED+NAVI,"18,999",18999,2017-09,False,8,92215,50k-100k,115.0,156.0,Petrol,Kamux Auto GmbH,4.3,161,"Mercedes-Benz | Mercedes-Benz CLA 200 Shooting Brake | First registration: 2017-09 | Accident-free: No | Mileage: 92,215 km | Fuel: Petrol | Power: 115.0 kW | Price: €18,999 | Seller: Kamux Auto GmbH (4.3⭐) | Description: 7G-DCT AMG Line+LED+NAVI","['FR 09/2017', '92,215 km', '115 kW (156 hp)', 'Petrol']","['FR 09/2017', '92,215 km', '115 kW (156 hp)', 'Petrol']"
Volkswagen,Volkswagen Tiguan,https://suchen.mobile.de/fahrzeuge/details.html?id=441122618&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&rd=100&ref=srp&refId=692b2536-d65d-caf0-12e7-d05cb10a818e&s=Car&sb=rel&searchId=692b2536-d65d-caf0-12e7-d05cb10a818e&vc=Car,R-LINE BMT 4Motion,"25,900",25900,2020-02,True,5,106122,>100k,140.0,190.0,Petrol,H&S Automobile Hamburg GMBH,4.6,102,"Volkswagen | Volkswagen Tiguan | First registration: 2020-02 | Accident-free: Yes | Mileage: 106,122 km | Fuel: Petrol | Power: 140.0 kW | Price: €25,900 | Seller: H&S Automobile Hamburg GMBH (4.6⭐) | Description: R-LINE BMT 4Motion","['Accident-free', 'FR 02/2020', '106,122 km', '140 kW (190 hp)', 'Petrol']","['Accident-free', 'FR 02/2020', '106,122 km', '140 kW (190 hp)', 'Petrol']"
Volkswagen,Volkswagen Tiguan,https://suchen.mobile.de/fahrzeuge/details.html?id=441837038&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&rd=100&ref=srp&refId=692b2536-d65d-caf0-12e7-d05cb10a818e&s=Car&sb=rel&searchId=692b2536-d65d-caf0-12e7-d05cb10a818e&vc=Car,1.5TSI DSG Join+LED+NAVI+VIRTUAL+AHK+PDC,"20,490",20490,2019-05,False,6,91493,50k-100k,110.0,150.0,Petrol,Kamux Auto GmbH,3.6,149,"Volkswagen | Volkswagen Tiguan | First registration: 2019-05 | Accident-free: No | Mileage: 91,493 km | Fuel: Petrol | Power: 110.0 kW | Price: €20,490 | Seller: Kamux Auto GmbH (3.6⭐) | Description: 1.5TSI DSG Join+LED+NAVI+VIRTUAL+AHK+PDC","['FR 05/2019', '91,493 km', '110 kW (150 hp)', 'Petrol']","['FR 05/2019', '91,493 km', '110 kW (150 hp)', 'Petrol']"
Mercedes-Benz,Mercedes-Benz GLC 200,https://suchen.mobile.de/fahrzeuge/details.html?id=442395768&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&rd=100&ref=srp&refId=692b2536-d65d-caf0-12e7-d05cb10a818e&s=Car&sb=rel&searchId=692b2536-d65d-caf0-12e7-d05cb10a818e&vc=Car,Not provided by seller.,"34,500",34500,2019-12,False,5,74454,50k-100k,155.0,211.0,Petrol,Kamux Auto GmbH,4.6,611,"Mercedes-Benz | Mercedes-Benz GLC 200 | First registration: 2019-12 | Accident-free: No | Mileage: 74,454 km | Fuel: Petrol | Power: 155.0 kW | Price: €34,500 | Seller: Kamux Auto GmbH (4.6⭐) | Description: Not provided by seller.","['FR 12/2019', '74,454 km', '155 kW (211 hp)', 'Petrol']","['FR 12/2019', '74,454 km', '155 kW (211 hp)', 'Petrol']"
Mercedes-Benz,Mercedes-Benz CLA 220,https://suchen.mobile.de/fahrzeuge/details.html?id=439660557&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&rd=100&ref=srp&refId=692b2536-d65d-caf0-12e7-d05cb10a818e&s=Car&sb=rel&searchId=692b2536-d65d-caf0-12e7-d05cb10a818e&vc=Car,d Lim.8G-DCT AMG Line+LED+NAVI+VIRTUAL,"29,999",29999,2020-01,False,5,114557,>100k,140.0,190.0,Diesel,Kamux Auto GmbH,4.6,611,"Mercedes-Benz | Mercedes-Benz CLA 220 | First registration: 2020-01 | Accident-free: No | Mileage: 114,557 km | Fuel: Diesel | Power: 140.0 kW | Price: €29,999 | Seller: Kamux Auto GmbH (4.6⭐) | Description: d Lim.8G-DCT AMG Line+LED+NAVI+VIRTUAL","['FR 01/2020', '114,557 km', '140 kW (190 hp)', 'Diesel']","['FR 01/2020', '114,557 km', '140 kW (190 hp)', 'Diesel']"
Volkswagen,Volkswagen Tiguan,https://suchen.mobile.de/fahrzeuge/details.html?id=441308744&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&rd=100&ref=srp&refId=692b2536-d65d-caf0-12e7-d05cb10a818e&s=Car&sb=rel&searchId=692b2536-d65d-caf0-12e7-d05cb10a818e&vc=Car,2.0 TSI Comfortline 4Motion *AHK/LED/STAN,"25,400",25400,2020-05,True,5,86122,50k-100k,140.0,190.0,Petrol,H&S Automobile Hamburg GMBH,4.6,102,"Volkswagen | Volkswagen Tiguan | First registration: 2020-05 | Accident-free: Yes | Mileage: 86,122 km | Fuel: Petrol | Power: 140.0 kW | Price: €25,400 | Seller: H&S Automobile Hamburg GMBH (4.6⭐) | Description: 2.0 TSI Comfortline 4Motion *AHK/LED/STAN","['Accident-free', 'FR 05/2020', '86,122 km', '140 kW (190 hp)', 'Petrol']","['Accident-free', 'FR 05/2020', '86,122 km', '140 kW (190 hp)', 'Petrol']"
Mercedes-Benz,Mercedes-Benz CLA 220 Shooting Brake,https://suchen.mobile.de/fahrzeuge/details.html?id=439727960&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&rd=100&ref=srp&refId=692b2536-d65d-caf0-12e7-d05cb10a818e&s=Car&sb=rel&searchId=692b2536-d65d-caf0-12e7-d05cb10a818e&vc=Car,d 8G-DCT AMGLine+LED+NAVI,"25,699",25699,2020-01,False,5,119892,>100k,140.0,190.0,Diesel,Kamux Auto GmbH,4.3,656,"Mercedes-Benz | Mercedes-Benz CLA 220 Shooting Brake | First registration: 2020-01 | Accident-free: No | Mileage: 119,892 km | Fuel: Diesel | Power: 140.0 kW | Price: €25,699 | Seller: Kamux Auto GmbH (4.3⭐) | Description: d 8G-DCT AMGLine+LED+NAVI","['FR 01/2020', '119,892 km', '140 kW (190 hp)', 'Diesel']","['FR 01/2020', '119,892 km', '140 kW (190 hp)', 'Diesel']"
Mercedes-Benz,Mercedes-Benz C 220,https://suchen.mobile.de/fahrzeuge/details.html?id=441848800&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&rd=100&ref=srp&refId=692b2536-d65d-caf0-12e7-d05cb10a818e&s=Car&sb=rel&searchId=692b2536-d65d-caf0-12e7-d05cb10a818e&vc=Car,d T 9G-tronic Exclusive+LED+NAVI+TEMPO+PDC,"22,995",22995,2020-09,False,5,103815,>100k,143.0,194.0,Diesel,Kamux Auto GmbH,4.6,611,"Mercedes-Benz | Mercedes-Benz C 220 | First registration: 2020-09 | Accident-free: No | Mileage: 103,815 km | Fuel: Diesel | Power: 143.0 kW | Price: €22,995 | Seller: Kamux Auto GmbH (4.6⭐) | Description: d T 9G-tronic Exclusive+LED+NAVI+TEMPO+PDC","['FR 09/2020', '103,815 km', '143 kW (194 hp)', 'Diesel']","['FR 09/2020', '103,815 km', '143 kW (194 hp)', 'Diesel']"
Mercedes-Benz,Mercedes-Benz GLK 200,https://suchen.mobile.de/fahrzeuge/details.html?id=435059947&action=eyeCatcher&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&rd=100&ref=srp&refId=692b2536-d65d-caf0-12e7-d05cb10a818e&s=Car&sb=rel&searchId=692b2536-d65d-caf0-12e7-d05cb10a818e&vc=Car,CDI /AHK/LED/Totwinkel./Tempom./20'',"25,490",25490,2015-03,False,10,74085,50k-100k,105.0,143.0,Diesel,WMP-Automobile,4.9,218,"Mercedes-Benz | Mercedes-Benz GLK 200 | First registration: 2015-03 | Accident-free: No | Mileage: 74,085 km | Fuel: Diesel | Power: 105.0 kW | Price: €25,490 | Seller: WMP-Automobile (4.9⭐) | Description: CDI /AHK/LED/Totwinkel./Tempom./20''","['FR 03/2015', '74,085 km', '105 kW (143 hp)', 'Diesel']","['FR 03/2015', '74,085 km', '105 kW (143 hp)', 'Diesel']"
Mercedes-Benz,Mercedes-Benz CLA 180,https://suchen.mobile.de/fahrzeuge/details.html?id=436528165&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&rd=100&ref=srp&refId=692b2536-d65d-caf0-12e7-d05cb10a818e&s=Car&sb=rel&searchId=692b2536-d65d-caf0-12e7-d05cb10a818e&vc=Car,CLA180 Shooting Brake AMG LINE 2 HAND,"19,690",19690,2018-06,True,7,71347,50k-100k,90.0,122.0,Petrol,A&D Automobile,3.8,9,"Mercedes-Benz | Mercedes-Benz CLA 180 | First registration: 2018-06 | Accident-free: Yes | Mileage: 71,347 km | Fuel: Petrol | Power: 90.0 kW | Price: €19,690 | Seller: A&D Automobile (3.8⭐) | Description: CLA180 Shooting Brake AMG LINE 2 HAND","['Accident-free', 'FR 06/2018', '71,347 km', '90 kW (122 hp)', 'Petrol']","['Accident-free', 'FR 06/2018', '71,347 km', '90 kW (122 hp)', 'Petrol']"
Mercedes-Benz,Mercedes-Benz A 200,https://suchen.mobile.de/fahrzeuge/details.html?id=439575434&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&pageNumber=2&rd=100&ref=srp&refId=f1de9fac-b765-0cfe-cbaa-9b8ad880d543&s=Car&sb=rel&searchId=f1de9fac-b765-0cfe-cbaa-9b8ad880d543&vc=Car,7G-DCT Advan.Progressive+LED+NAVI+KAMERA,"23,250",23250,2022-03,False,3,84847,50k-100k,120.0,163.0,Petrol,Kamux Auto GmbH,4.6,611,"Mercedes-Benz | Mercedes-Benz A 200 | First registration: 2022-03 | Accident-free: No | Mileage: 84,847 km | Fuel: Petrol | Power: 120.0 kW | Price: €23,250 | Seller: Kamux Auto GmbH (4.6⭐) | Description: 7G-DCT Advan.Progressive+LED+NAVI+KAMERA","['FR 03/2022', '84,847 km', '120 kW (163 hp)', 'Petrol']","['FR 03/2022', '84,847 km', '120 kW (163 hp)', 'Petrol']"
BMW,BMW 530,https://suchen.mobile.de/fahrzeuge/details.html?id=439727520&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&pageNumber=2&rd=100&ref=srp&refId=f1de9fac-b765-0cfe-cbaa-9b8ad880d543&s=Car&sb=rel&searchId=f1de9fac-b765-0cfe-cbaa-9b8ad880d543&vc=Car,d Touring Steptronic Luxury Line+LED+NAVI+,"27,450",27450,2019-11,False,6,110396,>100k,195.0,265.0,Diesel,Kamux Auto GmbH,4.6,611,"BMW | BMW 530 | First registration: 2019-11 | Accident-free: No | Mileage: 110,396 km | Fuel: Diesel | Power: 195.0 kW | Price: €27,450 | Seller: Kamux Auto GmbH (4.6⭐) | Description: d Touring Steptronic Luxury Line+LED+NAVI+","['FR 11/2019', '110,396 km', '195 kW (265 hp)', 'Diesel']","['FR 11/2019', '110,396 km', '195 kW (265 hp)', 'Diesel']"
Mercedes-Benz,Mercedes-Benz C 200,https://suchen.mobile.de/fahrzeuge/details.html?id=434110225&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&pageNumber=2&rd=100&ref=srp&refId=f1de9fac-b765-0cfe-cbaa-9b8ad880d543&s=Car&sb=rel&searchId=f1de9fac-b765-0cfe-cbaa-9b8ad880d543&vc=Car,*DIGITAL*LED*360°KAMERA*GEPFLEGT*,"32,990",32990,2022-03,False,3,97000,50k-100k,150.0,204.0,Petrol,Mobile-HH.de,4.8,165,"Mercedes-Benz | Mercedes-Benz C 200 | First registration: 2022-03 | Accident-free: No | Mileage: 97,000 km | Fuel: Petrol | Power: 150.0 kW | Price: €32,990 | Seller: Mobile-HH.de (4.8⭐) | Description: *DIGITAL*LED*360°KAMERA*GEPFLEGT*","['FR 03/2022', '97,000 km', '150 kW (204 hp)', 'Petrol']","['FR 03/2022', '97,000 km', '150 kW (204 hp)', 'Petrol']"
BMW,BMW M550,https://suchen.mobile.de/fahrzeuge/details.html?id=442428685&action=eyeCatcher&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&pageNumber=2&rd=100&ref=srp&refId=f1de9fac-b765-0cfe-cbaa-9b8ad880d543&s=Car&sb=rel&searchId=f1de9fac-b765-0cfe-cbaa-9b8ad880d543&vc=Car,Not provided by seller.,"35,499",35499,2018-01,False,7,108000,>100k,340.0,462.0,Petrol,AM-Autohaus,5,252,"BMW | BMW M550 | First registration: 2018-01 | Accident-free: No | Mileage: 108,000 km | Fuel: Petrol | Power: 340.0 kW | Price: €35,499 | Seller: AM-Autohaus (5⭐) | Description: Not provided by seller.","['FR 01/2018', '108,000 km', '340 kW (462 hp)', 'Petrol']","['FR 01/2018', '108,000 km', '340 kW (462 hp)', 'Petrol']"
Mercedes-Benz,Mercedes-Benz A 180,https://suchen.mobile.de/fahrzeuge/details.html?id=440867899&action=eyeCatcher&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&pageNumber=2&rd=100&ref=srp&refId=f1de9fac-b765-0cfe-cbaa-9b8ad880d543&s=Car&sb=rel&searchId=f1de9fac-b765-0cfe-cbaa-9b8ad880d543&vc=Car,d 7G-DCT Progressive+LED+NAVI+KAMERA+SHZ,"19,750",19750,2019-02,False,6,72341,50k-100k,85.0,116.0,Diesel,Kamux Auto GmbH,4.9,75,"Mercedes-Benz | Mercedes-Benz A 180 | First registration: 2019-02 | Accident-free: No | Mileage: 72,341 km | Fuel: Diesel | Power: 85.0 kW | Price: €19,750 | Seller: Kamux Auto GmbH (4.9⭐) | Description: d 7G-DCT Progressive+LED+NAVI+KAMERA+SHZ","['FR 02/2019', '72,341 km', '85 kW (116 hp)', 'Diesel']","['FR 02/2019', '72,341 km', '85 kW (116 hp)', 'Diesel']"
Mercedes-Benz,Mercedes-Benz GLK 220,https://suchen.mobile.de/fahrzeuge/details.html?id=437558590&cn=DE&dam=false&gn=Kiel%2C+Schleswig-Holstein&isSearchRequest=true&ll=54.322684%2C10.13586&od=up&pageNumber=2&rd=100&ref=srp&refId=f1de9fac-b765-0cfe-cbaa-9b8ad880d543&s=Car&sb=rel&searchId=f1de9fac-b765-0cfe-cbaa-9b8ad880d543&vc=Car,CDI 7G-Tronic-Facelift-TÜV-Sitzheizung,"19,400",19400,2014-09,True,11,110000,>100k,125.0,170.0,Diesel,CarPulse-TM,4.6,83,"Mercedes-Benz | Mercedes-Benz GLK 220 | First registration: 2014-09 | Accident-free: Yes | Mileage: 110,000 km | Fuel: Diesel | Power: 125.0 kW | Price: €19,400 | Seller: CarPulse-TM (4.6⭐) | Description: CDI 7G-Tronic-Facelift-TÜV-Sitzheizung","['Accident-free', 'FR 09/2014', '110,000 km', '125 kW (170 hp)', 'Diesel']","['Accident-free', 'FR 09/2014', '110,000 km', '125 kW (170 hp)', 'Diesel']"
